,Unnamed: 0,Word,3singular,Present Participle,Simple Past,Past Participle,Word_uk,Word_ru,ru_I,ru_they,ru_we,ru_you_vu,ru_you_tu,ru_3s,uk_I,uk_they,uk_we,uk_you_vu,uk_you_tu,uk_3s
14,14,look,looks,looking,looked,looked,дивитися,смотреть,смотрю,смотрят,смотрим,смотрите,смотришь,смотрит,дивлюсь,дивляться,дивимося,дивитеся,дивишся,дивиться
15,15,find,finds,finding,found,found,знаходити,находить,нахожу,находят,находим,находите,находишь,находит,знаходжу,знаходять,знаходимо,знаходите,знаходиш,знаходить
16,16,need,needs,needing,needed,needed,потребувати,нуждаться,нуждаюсь,нуждаются,нуждаемся,нуждаетесь,нуждаешься,нуждается,потребую,потребують,потребуємо,потребуєте,потребуєш,потребує
17,17,like,likes,liking,liked,liked,подобається,нравиться,нравится,нравится,нравится,нравится,нравится,нравится,подобається,подобається,подобається,подобається,подобається,подобається
18,18,set,sets,setting,set,set,встановити,устанавливать,устанавливаю,устанавливают,устанавливаем,устанавливаете,устанавливаешь,устанавливает,встановлюю,встановлюють,встановлюємо,встановлюєте,встановлюєш,встановлює
19,19,use,uses,using,used,used,використовувати,использовать,использую,используют,используем,используете,используешь,использует,використовую,використовують,використовуємо,використовуєте,використовуєш,використовує
20,20,become,becomes,becoming,became,become,стати,становиться,становлюсь,становятся,становимся,становитесь,становишься,становится,стаю,стають,стаємо,стаєте,стаєш,стає
21,21,tell,tells,telling,told,told,розповідати,рассказывать,рассказываю,рассказывают,рассказываем,рассказываете,рассказываешь,рассказывает,розповідаю,розповідають,розповідаємо,розповідаєте,розповідаєш,розповідає
22,22,keep,keeps,keeping,kept,kept,тримати,держать,держу,держат,держим,держите,держишь,держит,тримаю,тримають,тримаємо,тримаєте,тримаєш,тримає
23,23,help,helps,helping,helped,helped,допомагати,помогать,помогаю,помогают,помогаем,помогаете,помогаешь,помогает,допомагаю,допомагають,допомагаємо,допомагаєте,допомагаєш,допомагає
24,24,work,works,working,worked,worked,працювати,работать,работаю,работают,работаем,работаете,работаешь,работает,працюю,працюють,працюємо,працюєте,працюєш,працює
25,25,let,lets,letting,let,let,дозволяти,позволять,позволяю,позволяют,позволяем,позволяете,позволяешь,позволяет,дозволяю,дозволяють,дозволяємо,дозволяєте,дозволяєш,дозволяє
26,26,feel,feels,feeling,felt,felt,відчувати,чувствовать,чувствую,чувствуют,чувствуем,чувствуете,чувствуешь,чувствует,відчуваю,відчувають,відчуваємо,відчуваєте,відчуваєш,відчуває
27,27,provide,provides,providing,provided,provided,забезпечити,обеспечивать,обеспечиваю,обеспечивают,обеспечиваем,обеспечиваете,обеспечиваешь,обеспечивает,забезпечую,забезпечують,забезпечуємо,забезпечуєте,забезпечуєш,забезпечує
28,28,believe,believes,believing,believed,believed,вірити,верить,верю,верят,верим,верите,веришь,верит,вірю,вірять,віримо,вірите,віриш,вірить
29,29,try,tries,trying,tried,tried,намагатися,пытаться,пытаюсь,пытаются,пытаемся,пытаетесь,пытаешься,пытается,намагаюся,намагаються,намагаємося,намагаєтеся,намагаєшся,намагається
30,30,ask,asks,asking,asked,asked,запитувати,спрашивать,спрашиваю,спрашивают,спрашиваем,спрашиваете,спрашиваешь,спрашивает,питаю,запитують,питаємо,питаєте,питаєш,запитує
31,31,remember,remembers,remembering,remembered,remembered,запам'ятати,помнить,помню,помнят,помним,помнишь,помнишь,помнит,пам'ятаю,пам'ятають,пам'ятаємо,пам'ятаєш,пам'ятаєш,пам'ятає
32,32,leave,leaves,leaving,left,left,залишати,оставлять,оставляю,оставляю,оставляем,оставляете,оставляешь,оставляет,залишаю,залишаю,залишаємо,залишаєте,залишаєш,залишає
33,33,show,shows,showing,showed,shown,показувати,показывать,показываю,показывают,показываем,показываете,показываешь,показывает,показую,показують,показуємо,показуєте,показуєш,показує
34,34,pay,pays,paying,paid,paid,платити,платить,плачу,платят,платим,платите,платишь,платит,плачу,платять,платимо,платите,платиш,платить
35,35,run,runs,running,ran,run,бігти,бегать,бегу,бегут,бегаем,бежите,бежишь,бежит,бігу,біжать,бігаємо,біжіть,біжиш,біжить
36,36,read,reads,reading,read,read,читати,читать,читаю,читают,читаем,читаете,читаешь,читает,читаю,читають,читаємо,читаєте,читаєш,читає
37,38,include,includes,including,included,included,включати,включать,включаю,включают,включаем,включаете,включаешь,включает,вмикаю,включають,включаємо,включаєте,вмикаєш,включає
38,39,bring,brings,bringing,brought,brought,принести,приносить,ношу,приносят,приносим,приносите,приносишь,приносит,ношу,приносять,приносимо,приносите,приносиш,приносить
39,40,understand,understands,understanding,understood,understood,зрозуміти,понимать,понимаю,понимают,понимаем,понимаете,понимаешь,понимает,розумію,розуміють,розуміємо,розумієте,розумієш,розуміє
40,41,start,starts,starting,started,started,почати,начинать,начал,начинают,начинаем,начинаете,начинаешь,начала,почав,починають,починаємо,починаєте,починаєш,почала
41,42,play,plays,playing,played,played,грати,играть,играю,играют,играем,играете,играешь,играет,граю,грають,граємо,граєте,граєш,грає
42,43,cut,cuts,cutting,cut,cut,вирізати,резать,режу,режут,режем,режете,порезал,режет,ріжу,ріжуть,ріжемо,ріжете,порізав,ріже
43,44,live,lives,living,lived,lived,жити,жить,живу,живут,живем,живешь,живешь,живет,живу,живуть,живемо,живеш,живеш,живе
44,45,meet,meets,meeting,met,met,зустріти,встретиться,встречаю,встречают,встретились,встречаетесь,встречаешься,встречает,зустрічаю,зустрічають,зустрілися,зустрічаєтеся,зустрічаєшся,зустрічає
45,46,move,moves,moving,moved,moved,рухатися,двигаться,двигаюсь,двигаются,движемся,двигаться,двигаешься,движется,рухаюсь,рухаються,рухаємося,рухатися,рухаєшся,рухається
46,47,hear,hears,hearing,heard,heard,чути,слышать,слышу,слышат,слышим,слышите,слышишь,слышит,чую,чують,чуємо,чуєте,чуєш,чує
47,48,call,calls,calling,called,called,виклик,вызов,звоню,звонят,называем,звоните,звонишь,звонит,дзвоню,дзвонять,називаємо,дзвоніть,дзвониш,дзвонить
48,49,stop,stops,stopping,stopped,stopped,СТІЙ,останавливаться,остановился,останавливаются,стоим,остановитесь,остановись,останавливается,зупинився,зупиняються,стоїмо,зупинитесь,зупинись,зупиняється
49,50,turn,turns,turning,turned,turned,поворот,повернуть,поворачиваю,поворачиваются,поворачиваемся,поворачиваете,поворачиваешь,поворачивается,повертаю,повертаються,повертаємось,повертаєте,повертаєш,повертається
50,51,talk,talks,talking,talked,talked,говорити,разговаривать,говорю,говорят,говорим,говорите,говоришь,разговаривает,говорю,кажуть,говоримо,кажете,кажеш,розмовляє
51,52,buy,buys,buying,bought,bought,купити,купить,покупаю,покупают,покупаем,покупаете,покупаешь,покупает,купляю,купують,купуємо,купуєте,купуєш,купує
52,53,thank,thanks,thanking,thanked,thanked,спасибі,благодарить,благодарен,благодарят,благодарим,благодарите,спасибо,благодарит,вдячний,дякують,дякуємо,дякуйте,дякую,дякує
53,54,change,changes,changing,changed,changed,змінити,изменять,меняю,меняются,меняемся,меняете,меняешь,меняется,змінюю,змінюються,змінюємося,міняєте,змінюєш,змінюється
54,55,continue,continues,continuing,continued,continued,продовжувати,продолжать,продолжаю,продолжают,продолжаем,продолжаете,продолжаешь,продолжает,продовжую,продовжують,продовжуємо,продовжуєте,продовжуєш,продовжує
55,56,consider,considers,considering,considered,considered,розглянути,учитывать,полагаю,считают,считаем,считаете,считаешь,считает,гадаю,вважають,вважаємо,вважаєте,вважаєш,вважає
56,57,allow,allows,allowing,allowed,allowed,дозволяють,позволять,разрешаю,разрешают,разрешаем,разрешаете,позволяешь,позволяет,дозволяю,дозволяють,дозволяємо,дозволяєте,дозволяєш,дозволяє
57,58,hope,hopes,hoping,hoped,hoped,надія,надеяться,надеюсь,надеются,надеемся,надеетесь,надеешься,надеется,сподіваюся,сподіваються,сподіваємось,сподіваєтеся,сподіваєшся,сподівається
58,59,produce,produces,producing,produced,produced,виробляти,производить,произвожу,производят,производим,производите,производишь,производит,роблю,виробляють,виробляємо,робите,виробляєш,виробляє
59,60,stay,stays,staying,stayed,stayed,залишитися,оставаться,остаюсь,остаются,остаемся,остаетесь,останься,остается,залишаюся,залишаються,залишаємося,залишаєтеся,залишся,залишається
60,61,appear,appears,appearing,appeared,appeared,з'являтися,появляться,появился,появились,появляемся,появляетесь,появляешься,появляется,з'явився,з'явилися,з'являємося,з'являєтеся,з'являєшся,з'являється
61,62,write,writes,writing,wrote,written,писати,писать,пишу,пишут,пишем,пишете,пишешь,пишет,пишу,пишуть,пишемо,пишете,пишеш,пише
62,63,hold,holds,holding,held,held,утримувати,держать,держу,держат,держим,держите,держись,держит,тримаю,тримають,тримаємо,тримайте,тримайся,тримає
63,64,expect,expects,expecting,expected,expected,очікувати,ожидать,жду,ожидают,ожидаем,ожидаете,ожидаешь,ожидает,чекаю,чекають,чекаємо,чекаєте,чекаєш,чекає
64,65,ensure,ensures,ensuring,ensured,ensured,забезпечити,гарантировать,гарантирую,обеспечивают,гарантируем,убедитесь,гарантируешь,гарантирует,гарантую,забезпечують,гарантуємо,переконаєтесь,гарантуєш,гарантує
65,66,suppose,supposes,supposing,supposed,supposed,припустимо,предполагать,полагаю,предполагают,предполагаем,полагаете,полагаешь,предполагает,гадаю,припускають,припускаємо,вважаєте,вважаєш,передбачає
66,67,wish,wishes,wishing,wished,wished,бажання,желание,бы,желают,желаем,хотите,хочешь,желает,б,бажають,бажаємо,хочете,хочеш,бажає
67,68,carry,carries,carrying,carried,carried,нести,нести,несу,несут,несем,носите,несешь,несет,несу,несуть,несемо,носите,несеш,несе
68,69,follow,follows,following,followed,followed,слідувати,следовать,следую,следуют,следуем,следите,следишь,следует,слідую,слідують,слідуємо,стежте,стежиш,слідує
69,70,offer,offers,offering,offered,offered,пропозиція,предложение,предлагаю,предлагают,предлагаем,предлагаете,предлагаешь,предлагает,пропоную,пропонують,пропонуємо,пропонуєте,пропонуєш,пропонує
70,71,support,supports,supporting,supported,supported,підтримка,поддерживать,поддерживаю,поддерживают,поддерживаем,поддерживаете,поддерживаешь,поддерживает,підтримую,підтримують,підтримуємо,підтримуєте,підтримуєш,підтримує
71,72,accept,accepts,accepting,accepted,accepted,прийняти,принимать,принимаю,принимают,принимаем,принимаете,принимаешь,принимает,приймаю,приймають,приймаємо,приймаєте,приймаєш,приймає
72,73,speak,speaks,speaking,spoke,spoken,говорити,говорить,говорю,говорят,говорим,говоришь,говоришь,говорит,говорю,кажуть,говоримо,кажеш,кажеш,каже
73,74,lead,leads,leading,leaded,leaded,вести,вести,веду,ведут,ведем,ведете,ведешь,ведет,веду,ведуть,ведемо,ведете,ведеш,веде
74,75,remain,remains,remaining,remained,remained,залишаються,оставаться,остаюсь,остаются,по-прежнему,остаетесь,остаешься,остается,залишаюся,залишаються,як,залишаєтеся,залишаєшся,залишається
75,76,stand,stands,standing,stood,stood,стояти,стоять,стою,стоят,встали,стоите,стоишь,стоит,стою,стоять,встали,стоїте,стоїш,стоїть
76,77,suggest,suggests,suggesting,suggested,suggested,пропонувати,предлагать,предлагаю,предлагают,предлагаем,предлагаете,предлагаешь,предлагает,пропоную,пропонують,пропонуємо,пропонуєте,пропонуєш,пропонує
77,78,hit,hits,hitting,hit,hit,удар,ударять,ударил,попали,попали,попал,ударил,бьет,вдарив,потрапили,потрапили,потрапив,вдарив,б'є
78,79,develop,develops,developing,developed,developed,розвивати,развивать,разрабатываю,развиваются,разрабатываем,разрабатываете,развиваешься,развивается,розробляю,розвиваються,розробляємо,розробляєте,розвиваєшся,розвивається
79,80,happen,happens,happening,happened,happened,статися,случаться,случается,случаются,случаются,случается,случился,случается,трапляється,трапляються,трапляються,трапляється,трапився,трапляється
80,81,sit,sits,sitting,sat,sat,сидіти,сидеть,Это,сидят,сидим,сидите,сидишь,сидит,це,сидять,сидимо,сидите,сидиш,сидить
81,82,win,wins,winning,won,won,виграти,победить,выигрываю,побеждают,выигрываем,выигрываете,выиграл,выигрывает,виграю,перемагають,виграємо,виграєте,виграв,виграє
82,83,love,loves,loving,loved,loved,любов,любовь,люблю,любят,любим,любишь,любишь,любит,люблю,люблять,любимо,любиш,любиш,любить
83,84,add,adds,adding,added,added,додати,добавлять,добавить,добавляют,добавляем,добавляете,добавь,добавляет,додати,додають,додаємо,додаєте,додай,додає
84,85,learn,learns,learning,learned,learned,навчитися,учиться,учу,учатся,учим,узнаете,учишься,учится,вчу,вчаться,вчимо,дізнаєтесь,вчишся,вчиться
85,86,create,creates,creating,created,created,створити,создавать,создаю,создают,создаем,создаете,создаешь,создает,створюю,створюють,створюємо,створюєте,створюєш,створює
86,87,agree,agrees,agreeing,agreed,agreed,згоден,соглашаться,согласен,согласны,согласны,согласны,согласен,соглашается,згоден,згодні,згодні,згодні,згоден,погоджується
87,88,apply,applies,applying,applied,applied,застосувати,применять,применяю,применяются,применяем,подаете,применяешь,применяет,застосовую,застосовуються,застосовуємо,подаєте,застосовуєш,застосовує
88,89,wait,waits,waiting,waited,waited,чекати,ждать,жду,ждут,ждем,ждете,подожди,ждет,чекаю,чекають,чекаємо,чекаєте,почекай,чекає
89,90,avoid,avoids,avoiding,avoided,avoided,уникнути,избегать,избегаю,избегают,избегаем,избегаете,избегаешь,избегает,уникаю,уникають,уникаємо,уникаєте,уникаєш,уникає
90,91,send,sends,sending,sent,sent,відправити,отправлять,отправляю,отправляют,отправляем,отправляете,посылаешь,посылает,відправляю,відправляють,відправляємо,відправляєте,посилаєш,посилає
91,92,form,forms,forming,formed,formed,форму,форма,формирую,образуют,формируем,формируете,форма,формирует,формую,утворюють,формуємо,формуєте,форма,формує
92,93,explain,explains,explaining,explained,explained,пояснити,объяснять,объясняю,объясняют,объясняем,объясните,объясни,объясняет,пояснюю,пояснюють,пояснюємо,поясніть,поясни,пояснює
93,94,return,returns,returning,returned,returned,повернення,возвращаться,возвращаюсь,вернулись,возвращаем,возвращаетесь,возвращаешься,возвращается,повертаюся,повернулися,повертаємо,повертаєтеся,повертаєшся,повертається
94,95,sell,sells,selling,sold,sold,продати,продавать,продаю,продают,продаем,продаете,продаешь,продает,продаю,продають,продаємо,продаєте,продаєш,продає
95,96,receive,receives,receiving,received,received,отримати,получать,получаю,получают,получаем,получаете,получаешь,получает,отримую,отримують,отримуємо,отримуєте,отримуєш,отримує
96,97,open,opens,opening,opened,opened,ВІДЧИНЕНО,открыть,открываю,открывают,открыты,открываете,открываешь,она,відкриваю,відкривають,відкриті,відкриваєте,відкриваєш,вона
97,98,begin,begins,beginning,began,begun,почати,начинать,начинаю,начинают,начали,начинаете,начинаешь,начинает,починаю,починають,почали,починаєте,починаєш,починає
98,99,eat,eats,eating,ate,eaten,їсти,есть,ем,едят,едим,ешь,ешь,ест,їм,їдять,їмо,їж,їж,їсть
99,100,increase,increases,increasing,increased,increased,збільшити,увеличивать,увеличиваю,увеличивают,увеличиваем,увеличиваете,увеличиваешь,увеличивает,збільшую,збільшують,збільшуємо,збільшуєте,збільшуєш,збільшує
100,101,voice,voices,voicing,voiced,voiced,голос,голос,озвучиваю,голос,озвучиваем,голос,голос,озвучивает,озвучую,голос,озвучуємо,голос,голос,озвучує
101,102,spend,spends,spending,spent,spent,витрачати,тратить,потратил,тратят,тратим,тратите,тратишь,тратит,витратив,витрачають,витрачаємо,витрачаєте,витрачаєш,витрачає
102,103,join,joins,joining,joined,joined,приєднатися,присоединиться,присоединяюсь,присоединяются,присоединяемся,присоединяетесь,присоединяешься,присоединяется,приєднуюсь,приєднуються,приєднуємося,приєднуєтеся,приєднуєшся,приєднується
103,104,reduce,reduces,reducing,reduced,reduced,зменшити,уменьшать,уменьшаю,уменьшают,уменьшаем,уменьшаете,уменьшаешь,уменьшает,зменшую,зменшують,зменшуємо,зменшуєте,зменшуєш,зменшує
104,105,save,saves,saving,saved,saved,зберегти,сохранять,сохраняю,спасают,экономим,сохраняете,спаси,спасает,зберігаю,рятують,заощаджуємо,зберігаєте,врятуй,рятує
105,106,require,requires,requiring,required,required,вимагати,требовать,требую,требуют,требуем,требуете,требуешь,требует,вимагаю,вимагають,вимагаємо,вимагаєте,вимагаєш,вимагає
106,107,fall,falls,falling,fell,fallen,падіння,падать,упал,падают,падаем,падаешь,падаешь,падает,впав,падають,падаємо,падаєш,падаєш,падає
107,108,mind,minds,minding,minded,minded,розум,разум,против,возражают,возражаем,ум,ум,возражает,проти,заперечують,заперечуємо,розум,розум,заперечує
108,109,build,builds,building,built,built,будувати,строить,строю,строят,строим,строите,строишь,строит,будую,будують,будуємо,будуєте,будуєш,будує
109,110,achieve,achieves,achieving,achieved,achieved,досягти,достигать,достигаю,достигают,достигаем,достигаете,достиг,достигает,досягаю,досягають,досягаємо,досягаєте,досяг,досягає
110,111,choose,chooses,choosing,chose,chosen,вибрати,выбирать,выбираю,выбирают,выбираем,выбираете,выбираешь,выбирает,обираю,обирають,вибираємо,вибираєте,вибираєш,обирає
111,112,prevent,prevents,preventing,prevented,prevented,запобігти,предотвращать,предотвращаю,предотвращают,предотвращаем,предотвращаете,предотвращаешь,мешает,запобігаю,запобігають,запобігаємо,запобігаєте,запобігаєш,заважає
112,113,reach,reaches,reaching,reached,reached,досяжність,достигать,богат,достигают,достигаем,достигаете,достиг,достигает,Богат,досягають,досягаємо,досягаєте,досяг,досягає
113,114,decide,decides,deciding,decided,decided,вирішити,решать,решил,решают,решаем,решаете,решаешь,решает,вирішив,вирішують,вирішуємо,вирішуєте,вирішуєш,вирішує
114,115,deal,deals,dealing,dealt,dealt,справа,иметь дело,занимаюсь,имеют,договорились,имеете,дело,занимается,займаюсь,мають,домовились,маєте,справа,займається
115,116,face,faces,facing,faced,faced,обличчя,лицо,лицо,сталкиваются,сталкиваемся,лицо,лицо,сталкивается,обличчя,стикаються,стикаємося,обличчя,обличчя,стикається
116,117,enjoy,enjoys,enjoying,enjoyed,enjoyed,насолоджуйтесь,наслаждаться,нравится,наслаждаются,наслаждаемся,наслаждаетесь,наслаждаешься,нравится,подобається,насолоджуються,насолоджуємося,насолоджуєтеся,насолоджуєшся,подобається
117,118,watch,watches,watching,watched,watched,годинник,смотреть,смотрю,смотрят,смотрим,смотрите,смотришь,смотрит,дивлюся,дивляться,дивимося,дивіться,дивишся,дивиться
118,119,lose,loses,losing,lost,lost,втрачати,терять,проиграл,проиграли,теряем,теряете,теряешь,проигрывает,програв,програли,втрачаємо,втрачаєте,втрачаєш,програє
119,120,walk,walks,walking,walked,walked,ходити,ходить,иду,идут,гуляем,идете,ходишь,идет,йду,йдуть,гуляємо,йдете,ходиш,йде
120,121,cover,covers,covering,covered,covered,кришка,крышка,покрываю,покрывают,покрываем,обложка,покрываешь,покрывает,покриваю,покривають,покриваємо,обкладинка,покриваєш,покриває
121,122,improve,improves,improving,improved,improved,покращити,улучшать,улучшаюсь,улучшают,улучшаем,улучшаете,улучшаешь,улучшается,покращуюсь,покращують,покращуємо,покращуєте,покращуєш,покращується
122,123,tend,tends,tending,tended,tended,прагнути,иметь тенденцию,как,склонны,склонны,склонны,склонен,склонна,як,схильні,схильні,схильні,схильний,схильна
123,124,raise,raises,raising,raised,raised,підняти,поднимать,поднимаю,поднимают,поднимаем,поднимаете,повышаешь,поднимает,піднімаю,піднімають,піднімаємо,піднімаєте,підвищуєш,піднімає
124,125,draw,draws,drawing,drew,drawn,малювати,рисовать,нарисовал,рисуют,рисуем,рисуешь,рисуешь,рисует,намалював,малюють,малюємо,малюєш,малюєш,малює
125,126,forget,forgets,forgetting,forgot,forgotten,забути,забывать,забыл,забывают,забываем,забываешь,забыл,забывает,забув,забувають,забуваємо,забуваєш,забув,забуває
126,127,imagine,imagines,imagining,imagined,imagined,уявіть собі,представлять себе,полагаю,воображают,представляем,представляете,представляешь,воображает,гадаю,уявляють,уявляємо,уявляєте,уявляєш,уявляє
127,128,act,acts,acting,acted,acted,діяти,действовать,действую,действуют,действуем,действуете,действуешь,действует,дію,діють,діємо,дієте,дієш,діє
128,129,pick,picks,picking,picked,picked,вибрати,выбирать,поднял,выбирают,выбираем,выбираете,выбираешь,выбирает,підняв,обирають,вибираємо,вибираєте,вибираєш,обирає
129,130,cause,causes,causing,caused,caused,причина,причина,вызываю,вызывают,вызываем,вызываете,причина,вызывает,викликаю,викликають,викликаємо,викликаєте,причина,викликає
130,131,cost,costs,costing,cost,cost,вартість,расходы,стоил,стоят,стоим,стоите,стоил,стоит,коштував,стоять,стоїмо,стоїте,коштував,стоїть
131,132,pass,passes,passing,passed,passed,пропуск,проходить,пропускаю,проходят,проходим,проходите,проходишь,проходит,пропускаю,проходять,проходимо,проходите,проходиш,проходить
132,133,break,breaks,breaking,broke,broken,перерва,перерыв,ломаю,ломаются,нарушаем,ломаете,ломаешь,ломается,ламаю,ламаються,порушуємо,ламаєте,ламаєш,ламається
133,134,prove,proves,proving,proved,proved,довести,доказывать,доказываю,доказывают,доказываем,докажите,докажи,доказывает,доводжу,доводять,доводимо,доведіть,доведи,доводить
134,135,occur,occurs,occurring,occurred,occurred,відбуваються,происходить,встречаюсь,происходят,встречаемся,происходят,встречаешься,происходит,зустрічаюся,відбуваються,зустрічаємося,відбуваються,зустрічаєшся,відбувається
135,136,discuss,discusses,discussing,discussed,discussed,обговорити,обсуждать,обсуждаю,обсуждают,обсуждаем,обсуждаете,обсуждаешь,обсуждает,обговорюю,обговорюють,обговорюємо,обговорюєте,обговорюєш,обговорює
136,137,listen,listens,listening,listened,listened,слухати,слушать,слушаю,слушают,слушаем,слушаете,слушай,слушает,слухаю,слухають,слухаємо,слухаєте,слухай,слухає
137,138,maintain,maintains,maintaining,maintained,maintained,підтримувати,поддерживать,утверждаю,поддерживают,поддерживаем,поддерживаете,поддерживаешь,поддерживает,стверджую,підтримують,підтримуємо,підтримуєте,підтримуєш,підтримує
138,139,end,ends,ending,ended,ended,кінець,конец,заканчиваю,заканчиваются,заканчиваем,конец,конец,заканчивается,закінчую,закінчуються,закінчуємо,кінець,кінець,закінчується
139,140,exist,exists,existing,existed,existed,існують,существовать,существую,существуют,существуем,существуете,существуешь,существует,існую,існують,існуємо,існуєте,існуєш,існує
140,141,seek,seeks,seeking,sought,sought,шукати,искать,ищу,ищут,ищем,ищете,ищешь,ищет,шукаю,шукають,шукаємо,шукаєте,шукаєш,шукає
141,142,grow,grows,growing,grew,grown,рости,расти,расту,растут,растем,растете,растешь,растет,росту,ростуть,ростемо,ростете,ростеш,росте
142,143,check,checks,checking,checked,checked,перевірка,проверять,проверяю,проверяют,проверяем,проверяете,проверяешь,проверяет,перевіряю,перевіряють,перевіряємо,перевіряєте,перевіряєш,перевіряє
143,144,serve,serves,serving,served,served,служити,служить,подаю,служат,служим,служите,служишь,служит,подаю,служать,служимо,служите,служиш,служить
144,145,share,shares,sharing,shared,shared,частка,делиться,делюсь,делят,делимся,поделитесь,поделись,разделяет,ділюся,ділять,ділимося,поділіться,поділися,поділяє
145,146,establish,establishes,establishing,established,established,встановити,учреждать,устанавливаю,устанавливают,устанавливаем,устанавливаете,устанавливаешь,устанавливает,встановлюю,встановлюють,встановлюємо,встановлюєте,встановлюєш,встановлює
146,147,enter,enters,entering,entered,entered,введіть,входить,вхожу,вошли,входим,входите,входишь,входит,входжу,увійшли,входимо,входите,входиш,входить
147,148,control,controls,controlling,controlled,controlled,КОНТРОЛЬ,контроль,контролирую,контролируют,контролируем,контролируете,контролируешь,контролирует,контролюю,контролюють,контролюємо,контролюєте,контролюєш,контролює
148,149,die,dies,dying,died,died,померти,умереть,умер,умирают,умрем,умрешь,умрешь,умирает,помер,вмирають,помремо,помреш,помреш,вмирає
149,150,encourage,encourages,encouraging,encouraged,encouraged,заохочувати,поощрять,вдохновляю,поощряют,поощряем,поощряете,поощряешь,поощряет,надихаю,заохочують,заохочуємо,заохочуєте,заохочуєш,заохочує
150,151,answer,answers,answering,answered,answered,відповідь,отвечать,отвечаю,отвечают,отвечаем,ответите,ответь,отвечает,відповідаю,відповідають,відповідаємо,відповісте,відповідай,відповідає
151,152,protect,protects,protecting,protected,protected,захистити,защищать,защищаю,защищают,защищаем,защищаете,защищаешь,защищает,захищаю,захищають,захищаємо,захищаєте,захищаєш,захищає
152,153,identify,identifies,identifying,identified,identified,ідентифікувати,идентифицировать,идентифицирую,определяют,идентифицируем,идентифицируете,идентифицируешь,идентифицирует,ідентифікую,визначають,ідентифікуємо,ідентифікуєте,ідентифікуєш,ідентифікує
153,154,visit,visits,visiting,visited,visited,відвідати,посещать,посещаю,посещают,посетили,посещаете,посещаешь,посещает,відвідую,відвідують,відвідали,відвідуєте,відвідуєш,відвідує
154,155,care,cares,caring,cared,cared,догляд,Забота,не,заботятся,заботимся,заботитесь,заботишься,заботится,не,дбають,дбаємо,дбаєте,дбаєш,піклується
155,156,enable,enables,enabling,enabled,enabled,включити,давать возможность,включаю,позволяют,включаем,включаете,включаешь,позволяет,вмикаю,дозволяють,включаємо,включаєте,вмикаєш,дозволяє
156,157,affect,affects,affecting,affected,affected,впливати,оказывать воздействие,влияю,влияют,влияем,влияете,влияешь,влияет,впливаю,впливають,впливаємо,впливаєте,впливаєш,впливає
157,158,claim,claims,claiming,claimed,claimed,позов,требовать,утверждаю,утверждают,утверждаем,утверждаете,утверждаешь,утверждает,стверджую,стверджують,стверджуємо,стверджуєте,стверджуєш,стверджує
158,159,note,notes,noting,noted,noted,Примітка,примечание,заметил,отмечают,заметили,обратите,заметишь,отмечает,помітив,відзначають,помітили,зверніть,помітиш,відзначає
159,160,obtain,obtains,obtaining,obtained,obtained,отримати,получать,получаю,получают,получаем,получаете,получаешь,получает,отримую,отримують,отримуємо,отримуєте,отримуєш,отримує
